day,hour,weather,num_fatalities
Sunday,0:00am-0:59am,Clear,211
Sunday,0:00am-0:59am,Rain,17
Sunday,0:00am-0:59am,Sleet or Hail,1
Sunday,0:00am-0:59am,Snow,2
Sunday,0:00am-0:59am,"Fog, Smog, Smoke",5
Sunday,0:00am-0:59am,Severe Crosswinds,0
Sunday,0:00am-0:59am,Other,0
Sunday,0:00am-0:59am,Cloudy,46
Sunday,0:00am-0:59am,Blowing Snow,0
Sunday,0:00am-0:59am,Freezing Rain or Drizzle,0
Sunday,1:00am-1:59am,Clear,237
Sunday,1:00am-1:59am,Rain,14
Sunday,1:00am-1:59am,Sleet or Hail,1
Sunday,1:00am-1:59am,Snow,0
Sunday,1:00am-1:59am,"Fog, Smog, Smoke",2
Sunday,1:00am-1:59am,Severe Crosswinds,0
Sunday,1:00am-1:59am,Other,0
Sunday,1:00am-1:59am,Cloudy,47
Sunday,1:00am-1:59am,Blowing Snow,0
Sunday,1:00am-1:59am,Freezing Rain or Drizzle,0
Sunday,2:00am-2:59am,Clear,285
Sunday,2:00am-2:59am,Rain,25
Sunday,2:00am-2:59am,Sleet or Hail,1
Sunday,2:00am-2:59am,Snow,4
Sunday,2:00am-2:59am,"Fog, Smog, Smoke",5
Sunday,2:00am-2:59am,Severe Crosswinds,0
Sunday,2:00am-2:59am,Other,0
Sunday,2:00am-2:59am,Cloudy,49
Sunday,2:00am-2:59am,Blowing Snow,0
Sunday,2:00am-2:59am,Freezing Rain or Drizzle,0
Sunday,3:00am-3:59am,Clear,205
Sunday,3:00am-3:59am,Rain,12
Sunday,3:00am-3:59am,Sleet or Hail,1
Sunday,3:00am-3:59am,Snow,2
Sunday,3:00am-3:59am,"Fog, Smog, Smoke",5
Sunday,3:00am-3:59am,Severe Crosswinds,0
Sunday,3:00am-3:59am,Other,1
Sunday,3:00am-3:59am,Cloudy,32
Sunday,3:00am-3:59am,Blowing Snow,0
Sunday,3:00am-3:59am,Freezing Rain or Drizzle,1
Sunday,4:00am-4:59am,Clear,147
Sunday,4:00am-4:59am,Rain,14
Sunday,4:00am-4:59am,Sleet or Hail,0
Sunday,4:00am-4:59am,Snow,0
Sunday,4:00am-4:59am,"Fog, Smog, Smoke",2
Sunday,4:00am-4:59am,Severe Crosswinds,0
Sunday,4:00am-4:59am,Other,0
Sunday,4:00am-4:59am,Cloudy,30
Sunday,4:00am-4:59am,Blowing Snow,0
Sunday,4:00am-4:59am,Freezing Rain or Drizzle,0
Sunday,5:00am-5:59am,Clear,114
Sunday,5:00am-5:59am,Rain,6
Sunday,5:00am-5:59am,Sleet or Hail,0
Sunday,5:00am-5:59am,Snow,1
Sunday,5:00am-5:59am,"Fog, Smog, Smoke",4
Sunday,5:00am-5:59am,Severe Crosswinds,1
Sunday,5:00am-5:59am,Other,1
Sunday,5:00am-5:59am,Cloudy,28
Sunday,5:00am-5:59am,Blowing Snow,0
Sunday,5:00am-5:59am,Freezing Rain or Drizzle,0
Sunday,6:00am-6:59am,Clear,103
Sunday,6:00am-6:59am,Rain,9
Sunday,6:00am-6:59am,Sleet or Hail,0
Sunday,6:00am-6:59am,Snow,1
Sunday,6:00am-6:59am,"Fog, Smog, Smoke",4
Sunday,6:00am-6:59am,Severe Crosswinds,0
